unit	age	geo	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
PC	Y55-64	PL	-6.8 	-3.4 	0.1 	2.6 	2.5 	4.3 	6.0 	6.9	7.8 	5.7 	3.5 	3.2 	2.9 	2.6 
PC	Y55-64	PT	9.9	9.3	9.4 	13.2 	16.3 	19.8 	17.2 	15.4 	19.2 	17.8 	9.7 	10.5 	10.2 	5.9 
PC	Y55-64	RO	-5.4	-5.4	-5.2 	-3.2	-1.2	0.8	2.8 	4.3 	5.7 	7.0 	8.5 	-3	-4	-4.8
PC	Y55-64	RS	: 	: 	6.4 	: 	: 	: 	2.7 	: 	: 	: 	: 	: 	: 	: 
PC	Y55-64	SE	14.3 	14.7 	14.9 	15.3 	16.0 	16.1 	16.0 	17.0 	17.4 	17.7 	18.9 	19.2 	20.1 	: 
PC	Y55-64	SI	1.3	6.1	7.5 	7.0 	6.1 	5.7 	3.3 	4.7 	0.4 	-1.7 	-6.6 	-9.8 	-4.9 	-3.9 
PC	Y55-64	SK	13.1 	16.3 	17.3 	17.1 	16.8 	17.6 	18.3 	17.6 	19.4 	17.0 	13.5 	16.9 	12.2 	: 
PC	Y55-64	TR	: 	: 	: 	: 	: 	: 	-2.4 	: 	: 	: 	: 	: 	: 	: 
PC	Y55-64	UK	: 	: 	26.8 	28.7 	26.4 	26.2 	27.0 	26.2 	27.0 	27.3 	26.9	23.1 	22.5 	22.6 
PC	Y_GE65	AL	: 	: 	-1.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC	Y_GE65	AT	: 	: 	33.5 	: 	: 	: 	31.7 	: 	: 	: 	24.1 	: 	: 	: 
PC	Y_GE65	BE	:	:	:	:	:	14.4 	14.5 	12.3 	10.0 	7.5 	:	:	:	:
PC	Y_GE65	BG	-14.0	-12.1	-12.3 	-8.5 	-4.7 	-0.2 	1.8 	-2.5 	-5.6 	-12.3 	-16.8 	-13.7 	-12.3 	-9.6 
PC	Y_GE65	CH	28.0	28.3	28.1 	25.7 	27.6 	29.9 	31.7 	32.0 	31.9 	32.0 	28.5 	27.5	27.5	: 
PC	Y_GE65	CY	23.0	25.6	26.2 	36.6 	38.9 	47.7 	52.9 	46.1 	38.9 	34.1 	28.7 	30.6 	27.0 	: 
PC	Y_GE65	CZ	8.5	13.2	17.1	19.7	20.7	23.6	25.5 	23.9 	26.6 	27.6 	30.8 	31.0 	29.8 	: 
PC	Y_GE65	DE	: 	: 	15.2 	: 	: 	: 	17.0 	: 	: 	: 	20.3 	: 	: 	: 
PC	Y_GE65	DK	9.6 	9.4 	11.3 	10.0 	11.5 	11.6 	13.4 	13.2 	13.7 	13.8 	14.1 	13.4 	13.3 	: 
PC	Y_GE65	EE	: 	: 	9.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC	Y_GE65	EL	: 	: 	34.5 	: 	: 	: 	4.8 	: 	: 	: 	17.8 	: 	: 	: 
PC	Y_GE65	ES	32.5	32.5 	34.3 	51.1 	43.9 	48.2 	45.3 	43.5 	48.9 	51.9 	45.1 	:	:	:
PC	Y_GE65	FI	24.3 	24.0 	25.1 	23.2 	25.1 	24.4 	26.0 	22.9 	22.6 	25.2 	29.0 	28.0 	28.2 	: 
PC	Y_GE65	FR	25.9	26.3	27.8 	28.1 	28.5 	28.8 	30.1 	30.9 	33.8 	34.2 	36.8 	28.3 	: 	: 
PC	Y_GE65	HR	6.6	5.2	6.9 	8.5 	7.6 	: 	23.6 	13.7 	: 	: 	-0.9 	: 	: 	: 
PC	Y_GE65	HU	19.5 	18.7	17.8 	24.9	22.3 	19.2 	18.8 	21.4 	20.6 	21.0 	19.9 	20.5 	20.6 	12.3 
PC	Y_GE65	IE	: 	: 	34.9 	26.7	27.1	27.5	28.4 	25.1 	28.4 	22.9 	10.4 	11.7 	14.2 	: 
