geo,year,percent,age
CZ,2017,11.1,Y_LT25
DE,2017,:,Y_LT25
DK,2017,5.8,Y_LT25
EE,2017,:,Y_LT25
EL,2017,:,Y_LT25
ES,2017,4.1,Y_LT25
FI,2017,6.3,Y_LT25
FR,2017,1.7,Y_LT25
HR,2017,5,Y_LT25
HU,2017,3,Y_LT25
IE,2017,3,Y_LT25
IS,2017,0.5,Y_LT25
IT,2017,15.8,Y_LT25
LT,2017,13.3,Y_LT25
LU,2017,:,Y_LT25
LV,2017,11.5,Y_LT25
ME,2017,:,Y_LT25
MK,2017,:,Y_LT25
MT,2017,2.8,Y_LT25
NL,2017,0.6,Y_LT25
NO,2017,1.8,Y_LT25
PL,2017,7.1,Y_LT25
PT,2017,5,Y_LT25
RO,2017,3.9,Y_LT25
RS,2017,:,Y_LT25
SE,2017,5.6,Y_LT25
SI,2017,7.4,Y_LT25
SK,2017,12.8,Y_LT25
TR,2017,:,Y_LT25
UK,2017,6.4,Y_LT25
AL,2016,:,Y25-34
AT,2016,:,Y25-34
BE,2016,2.1,Y25-34
BG,2016,15.3,Y25-34
CH,2016,8.4,Y25-34
CY,2016,1.6,Y25-34
CZ,2016,13.4,Y25-34
DE,2016,:,Y25-34
DK,2016,10.9,Y25-34
EE,2016,:,Y25-34
EL,2016,:,Y25-34
ES,2016,6.7,Y25-34
FI,2016,11,Y25-34
FR,2016,9.5,Y25-34
HR,2016,7.3,Y25-34
HU,2016,10.5,Y25-34
IE,2016,2,Y25-34
IS,2016,7.1,Y25-34
IT,2016,5.1,Y25-34
LT,2016,17,Y25-34
LU,2016,:,Y25-34
LV,2016,17.2,Y25-34
ME,2016,:,Y25-34
MK,2016,:,Y25-34
